mpid,d_center,E_CO
mp-11519,8.672627504,-1.81978153
mp-866161,7.932836503756706,-1.55401
mp-607450,8.140913525,-1.75695634
mp-865496,10.325079497090124,-1.73628274
mp-999549,16.967326560503224,-1.31184375
mp-1025269,10.071788464094853,-0.92441171
mp-17094,9.497581172076325,-1.66612733
mp-557373,2.728796561978262,-0.00450942
mp-569594,11.900591985215664,-2.08180957
mp-30568,0.6795016323272064,-1.20919926
mp-94,-4.948719574,0.08875994
mp-542569,9.333656532457104,-1.94635101
mp-7429,-2.618346858,-0.29712278
mp-37920,-0.828974148,0.3889271400000016
mp-684744,9.812428899564503,-1.94484511
mp-16260,2.0148296313143086,0.72443525
mp-10847,6.145920415000571,-0.42988
mp-1359,8.735203352196757,-2.07958113
mp-4595,8.724808866765676,-1.97335154
mp-568565,8.137265982435704,-1.40873977
mp-1014257,5.470270362,-0.12792604
mp-21589,10.114296524873222,-0.30834572
mp-562,5.110223345,-0.80879746
mp-9249,-0.36888106,-0.0695939
mp-16263,-3.804921834,0.4400704400000084
mp-1473,11.348874263352457,-1.48313975
mp-29076,11.018157453870689,-1.21051958
mp-510219,9.390074653583035,-1.805044
mp-2033,7.808117428904625,0.00655624
mp-22154,3.154234672833764,0.14878245000000057
mp-4955,7.476401553835158,-1.92664249
mp-17123,9.019564125908353,-1.47415456
mp-866121,13.406150033519493,-1.43347544
mp-604914,6.615326034879035,-1.46419122
mp-987,3.2837886720027085,-0.00841984
mp-22075,6.075420062417944,-1.09044155
mp-35539,-3.377439121,-0.16735817
mp-865930,14.56304759,-0.22166203
mp-1025313,6.379135253686818,0.00773237
mp-16266,-3.013908079,-0.43918825
mp-1399,2.4151418353202887,-0.62019099
mp-998981,15.043630747383252,-0.53386407
mp-867141,9.175941519842784,-2.08800197
mp-774,5.552629606595185,-1.91650276
mp-983566,0.6066546630610916,-0.45499565
mp-565,8.267187743625477,0.05354217
mp-1018121,4.923923245762513,-0.94532041
mp-31219,11.35207689,-0.95979509
mp-2,8.304628632476302,-1.63499217
mp-4744,5.140480416343334,-0.28159215
mp-7598,7.125508478163583,-0.86963899
mp-2223,5.903683811470678,-1.33681316
mp-8911,3.7591966790191025,-0.53311231
mp-20849,5.609788035073782,-1.39533203
mp-977426,7.920243020349008,-1.97704657
mp-5166,2.9295819651135044,-0.29581966
mp-646039,6.271817034060319,-0.51314594
mp-1918,5.390090628,-1.48100782
mp-16334,4.862022666388889,-1.38981937
mp-28006,3.688294586053961,-0.53703654
mp-19724,13.037324810566115,-0.66139331
